SUMLEV,CBSA,MDIV,NAME,LSAD,YEAR,POPESTIMATE,UNDER5_TOT,AGE513_TOT,AGE1417_TOT,AGE1824_TOT,AGE2544_TOT,AGE4564_TOT,AGE65PLUS_TOT
314,47900,11694,"Arlington-Alexandria-Reston, VA-WV",Metropolitan Division,3,3127294,191142,378205,176057,259289,900865,814602,407134
314,47900,23224,"Frederick-Gaithersburg-Bethesda, MD",Metropolitan Division,3,1336840,77326,156072,73510,105190,351134,357203,216405
314,47900,47764,"Washington, DC-MD",Metropolitan Division,3,1794415,109689,190400,78353,166308,564736,439209,245720
314,12060,12054,"Atlanta-Sandy Springs-Roswell, GA",Metropolitan Division,2,4777385,289200,590334,280716,437101,1343273,1237962,598799
314,12060,31924,"Marietta, GA",Metropolitan Division,2,1343464,78651,162185,78889,115758,371274,359836,176871
314,14460,14454,"Boston, MA",Metropolitan Division,2,2051935,105087,195141,94444,211404,601131,524526,320202
314,14460,15764,"Cambridge-Newton-Framingham, MA",Metropolitan Division,2,2436026,128307,248690,117396,226486,672255,649246,393646
314,14460,40484,"Rockingham County-Strafford County, NH",Metropolitan Division,2,445689,20149,42133,21735,41917,108286,131811,79658
314,16980,16984,"Chicago-Naperville-Schaumburg, IL",Metropolitan Division,2,7254149,419570,813519,380944,617831,2080376,1851993,1089916
314,16980,20994,"Elgin, IL",Metropolitan Division,2,748805,44857,95414,47282,75464,191691,191998,102099
314,16980,29404,"Lake County, IL",Metropolitan Division,2,713281,39515,87690,44322,72491,170447,193875,104941
314,16980,29414,"Lake County-Porter County-Jasper County, IN",Metropolitan Division,2,718982,41062,84308,40863,59926,180351,189152,123320
314,19100,19124,"Dallas-Plano-Irving, TX",Metropolitan Division,2,5151115,337629,670179,307793,468284,1516580,1270880,579770
314,19100,23104,"Fort Worth-Arlington-Grapevine, TX",Metropolitan Division,2,2515303,163799,333828,154148,227147,708793,620583,307005
314,19820,19804,"Detroit-Dearborn-Livonia, MI",Metropolitan Division,2,1789586,116146,214227,97002,150543,470598,461076,279994
314,19820,47664,"Warren-Troy-Farmington Hills, MI",Metropolitan Division,2,2595662,136477,270512,134379,203597,657407,736399,456891
